Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	StopIter	Time
0	4.6333337	6.262233	9.6	-4.2	886.3333	4000	2.0	67.98107862472534
1	4.482143	7.1701665	24.45	-3.8	273.35715	8000	1.0	134.71559619903564
2	6.233929	7.251158	21.35	-2.4	141.28572	12000	1.0	197.65655851364136
3	7.032143	5.9226594	22.25	-1.6	134.67857	16000	1.0	257.3935036659241
4	7.5736837	6.4154906	18.0	-1.3	179.89473	20000	1.0	317.00396037101746
5	5.4049997	7.160952	23.2	-1.6	129.43333	24000	1.0	375.87641644477844
6	7.2849994	7.634921	23.1	-1.4	78.0	28000	1.0	434.8878364562988
7	2.7201388	5.825195	22.05	-1.3	55.27778	32000	2.0	493.9392580986023
8	0.13048774	3.25297	15.5	-1.1	48.59756	36000	19.0	554.7980878353119
9	1.046154	4.4464245	15.7	-1.1	50.5	40000	1.0	613.5329477787018
10	5.133333	7.6789274	23.4	-1.2	72.18519	44000	1.0	672.4021651744843
11	8.734375	9.926931	29.0	-1.3	81.6875	48000	1.0	731.4058530330658
12	7.0456524	7.3518314	22.9	-1.4	86.73913	52000	1.0	790.3799164295197
13	7.9016128	6.798179	23.8	-1.3	127.064514	56000	1.0	849.3866364955902
14	6.321429	6.917448	21.7	-1.8	189.7619	60000	2.0	908.6808338165283
15	5.511111	8.71081	23.95	-1.2	371.33334	64000	1.0	967.4525396823883
16	5.441667	6.8639402	21.9	-1.4	330.75	68000	7.0	1027.1612300872803
17	6.1545453	7.892069	21.05	-1.4	332.9091	72000	19.0	1088.5061802864075
18	4.6383333	6.8912344	25.9	-1.6	130.43333	76000	19.0	1151.7257199287415
19	6.1190476	7.11443	21.65	-1.6	189.19048	80000	19.0	1216.7525942325592
20	6.54	6.6993017	21.9	-1.5	198.9	84000	6.0	1280.5926768779755
21	5.8235292	6.27323	22.15	-1.5	116.67647	88000	3.0	1347.6150810718536
22	8.535	7.7654166	23.35	-1.6	128.53334	92000	3.0	1415.4465522766113
23	9.508333	9.147521	33.9	-1.6	94.21429	96000	2.0	1481.4377887248993
24	9.133332	7.7041764	23.9	-1.5	87.13333	100000	19.0	1549.7537457942963
25	7.7712765	8.300825	26.75	-1.5	82.80851	104000	19.0	1618.1217324733734
26	9.281396	9.960153	39.0	-1.5	92.74419	108000	19.0	1688.751538991928
27	6.094546	6.8560433	22.4	-1.2	72.38182	112000	19.0	1758.5773432254791
28	7.2117643	8.386781	26.0	-1.5	77.27451	116000	19.0	1829.0380821228027
29	6.7749996	7.3206277	29.05	-1.3	76.61539	120000	19.0	1899.0186967849731
30	8.689362	9.501344	43.4	-1.2	84.702126	124000	4.0	1963.0704028606415
31	11.692105	9.092757	29.35	-1.2	102.81579	128000	2.0	2022.7757573127747
32	10.28875	8.682069	30.0	-1.4	99.25	132000	3.0	2082.631167411804
33	7.2592597	7.722802	29.45	-1.4	73.888885	136000	19.0	2143.62407040596
34	9.598887	8.0434475	26.6	-1.5	88.28889	140000	19.0	2204.5001480579376
35	9.494445	8.725049	29.8	-1.2	86.755554	144000	14.0	2264.763212442398
36	8.154348	7.5669103	23.1	-1.5	83.695656	148000	19.0	2325.7008666992188
37	12.020514	8.215173	23.65	-1.1	102.28205	152000	2.0	2385.018065214157
38	10.478409	7.438455	25.95	-1.1	90.545456	156000	19.0	2446.5488097667694
39	10.45238	8.002239	23.3	-1.4	95.04762	160000	19.0	2507.7582449913025
40	10.529762	8.816625	28.8	-1.4	93.690475	164000	19.0	2568.8294775485992
41	11.893243	9.471337	28.75	-1.4	107.10811	168000	18.0	2629.767479658127
42	11.00625	9.184479	29.2	-1.3	99.375	172000	1.0	2689.519107103348
43	10.316668	9.012912	32.1	-1.4	94.309525	176000	1.0	2748.770713329315
44	8.073469	7.9608355	22.8	-1.3	80.81633	180000	19.0	2809.742609024048
45	10.153572	8.884084	26.2	-1.3	94.04762	184000	19.0	2870.6720752716064
46	10.363954	7.914737	26.35	-1.2	92.51163	188000	13.0	2930.9722859859467
47	9.768888	9.718363	33.0	-1.4	87.64445	192000	19.0	2991.942154407501
48	8.579268	7.742967	22.95	-1.2	95.07317	196000	13.0	3052.1416132450104
49	13.724998	8.758965	33.5	-1.1	114.64706	200000	16.0	3112.7507536411285
50	10.335714	9.345831	31.6	-1.5	94.64286	204000	8.0	3172.4723694324493
51	12.922856	7.9924645	25.8	-1.1	112.71429	208000	8.0	3232.24484705925
52	13.095312	7.916472	26.6	-1.1	124.0	212000	15.0	3293.339236497879
53	12.802856	8.33622	29.0	-1.1	110.02857	216000	1.0	3352.259606361389
54	11.836764	8.490421	28.75	-1.4	114.70588	220000	11.0	3412.3964705467224
55	11.098333	7.046861	23.3	-1.1	129.46666	224000	6.0	3472.0652511119843
56	13.967741	9.561073	42.25	-1.2	122.51613	228000	14.0	3532.5638704299927
57	13.468183	7.869685	29.1	-1.1	120.84849	232000	9.0	3593.199558019638
58	16.214815	7.4725523	28.45	6.0	141.59259	236000	18.0	3656.4223403930664
59	13.579999	10.083896	43.75	-1.2	131.8	240000	16.0	3719.7901997566223
60	13.019117	7.4555445	26.15	-1.2	114.0	244000	8.0	3782.8920669555664
61	15.633332	8.367186	31.3	-1.2	118.878784	248000	18.0	3847.9461221694946
62	15.984848	10.510994	42.9	-1.2	120.818184	252000	10.0	3913.9258103370667
63	15.528126	11.1856	41.2	-1.4	119.5625	256000	1.0	3981.0895109176636
64	17.253704	9.895415	48.45	5.9	147.2963	260000	5.0	4041.263660430908
65	13.215626	8.477797	33.65	-1.2	124.40625	264000	10.0	4101.81729054451
66	16.658928	7.9416966	41.6	6.1	139.64285	268000	5.0	4161.426390647888
67	15.984483	8.581748	28.9	-1.3	133.17241	272000	9.0	4221.386314630508
68	15.694445	10.508386	42.85	6.0	146.51852	276000	11.0	4281.381051540375
69	17.182257	9.581792	33.25	-1.2	128.2258	280000	15.0	4341.986207008362
70	12.775	8.722127	28.8	-1.1	104.552635	284000	15.0	4402.749362945557
71	15.586363	9.3373575	42.1	6.1	119.48485	288000	8.0	4462.613607168198
72	11.333333	7.4702277	32.35	-1.2	108.0	292000	11.0	4523.4977486133575
73	13.925001	9.801237	29.1	-1.3	108.05556	296000	13.0	4584.72141957283
74	13.564285	8.427494	29.65	-1.1	110.85714	300000	9.0	4644.959636688232
75	15.730556	9.56775	32.85	-1.1	109.75	304000	19.0	4705.984184026718
76	12.383333	6.2583604	26.0	6.0	119.48485	308000	7.0	4765.99885892868
77	18.855001	8.449974	32.35	6.1	129.7	312000	19.0	4827.628046751022
78	18.633333	11.767231	43.05	-1.0	129.56667	316000	4.0	4887.269124031067
79	19.346666	10.953994	48.45	6.1	133.16667	320000	3.0	4946.584918260574
80	16.763332	8.447672	32.45	-1.4	128.43333	324000	13.0	5007.019604444504
81	17.685713	9.496747	42.75	6.4	134.71428	328000	10.0	5067.139000415802
82	16.372414	10.259333	42.6	-1.1	136.41379	332000	19.0	5130.3841547966
83	15.56212	10.212352	42.65	-1.1	118.48485	336000	6.0	5193.307443141937
84	20.042856	13.040836	49.2	5.7	159.42857	340000	3.0	5257.790148496628
85	20.272001	13.456315	67.5	-1.3	158.4	344000	8.0	5324.023988723755
86	20.72826	16.095482	69.1	-1.1	173.17392	348000	6.0	5392.154638290405
87	16.7	10.73421	43.05	-1.2	171.86957	352000	15.0	5461.477249383926
88	17.353334	8.316489	33.8	7.0	130.03334	356000	9.0	5530.190306663513
89	17.359375	8.542719	33.5	6.3	122.75	360000	1.0	5597.510546207428
90	19.253227	9.0132065	33.75	6.4	125.22581	364000	2.0	5664.634290218353
91	16.628124	7.962186	29.9	6.1	123.15625	368000	3.0	5730.673996925354
92	21.525	10.747636	42.0	-1.3	161.375	372000	5.0	5795.063471317291
93	20.903843	8.879307	33.9	6.75	150.84616	376000	1.0	5856.373208761215
94	17.544828	8.487164	32.6	6.4	131.0	380000	2.0	5915.957542657852
95	20.321999	9.937696	41.9	6.2	156.6	384000	5.0	5975.5298371315
96	19.0	9.007651	33.65	6.7	147.25926	388000	5.0	6035.303569555283
97	19.651669	8.569271	32.65	6.3	130.76666	392000	6.0	6094.914069414139
98	19.344444	10.948222	42.75	6.7	147.07408	396000	4.0	6154.135838031769
99	19.474195	8.426723	33.2	6.5	128.80646	400000	8.0	6213.898054361343
100	19.761665	8.941138	33.9	6.65	131.63333	404000	15.0	6274.500513076782
101	23.764284	9.136356	42.25	7.1	225.07143	408000	15.0	6335.519492387772
102	21.356897	8.144628	41.7	6.6	133.48276	412000	7.0	6395.334364414215
103	21.91842	6.6682715	38.05	6.9	205.94737	416000	6.0	6454.984461784363
104	25.928572	8.595327	42.6	9.2	190.4762	420000	4.0	6514.4333283901215
105	19.6925	9.927201	37.75	6.6	198.3	424000	6.0	6574.278405666351
106	20.784782	10.401771	42.2	8.9	172.95653	428000	10.0	6634.4349138736725
107	21.745	9.128498	33.9	4.9	196.4	432000	10.0	6694.736780166626
108	27.202272	8.028889	42.1	-1.0	176.0	436000	15.0	6755.650562763214
109	29.71875	9.495797	67.6	21.3	165.83333	440000	10.0	6815.984386920929
110	25.401997	10.080461	42.9	-1.1	146.2	444000	6.0	6875.788279294968
111	22.26	9.721345	43.0	-1.5	129.33333	448000	4.0	6935.3482320308685
112	25.346298	7.22798	43.4	9.3	144.88889	452000	6.0	6999.283078670502
113	21.39	7.9755034	32.0	4.9	194.6	456000	6.0	7067.652922153473
114	28.336113	6.77091	43.3	21.1	217.61111	460000	19.0	7139.204419374466
115	27.867647	11.456092	42.6	-0.9	230.11765	464000	16.0	7209.4064383506775
116	30.838236	6.3832397	48.2	21.1	231.05882	468000	6.0	7277.030941486359
117	33.12857	6.6456676	43.2	21.7	569.1429	472000	11.0	7337.463561058044
118	34.004997	7.0838	43.6	23.1	390.7	476000	10.0	7397.600945472717
119	30.275002	10.89045	45.7	9.5	340.375	480000	7.0	7457.249190330505
120	33.2	17.936974	52.2	5.9	858.25	484000	6.0	7516.854030370712
121	34.085716	9.296916	53.1	21.6	555.8571	488000	6.0	7576.808630466461
122	30.47143	11.95521	45.5	7.3	365.14285	492000	6.0	7635.9760954380035
123	29.275	10.745809	43.3	6.4	176.64285	496000	2.0	7695.017118930817
